configuration,system,candidate_weight,top_k,question_group,denominator,card_hit_at_3,strict_evidence_hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5
vector_0.5_bm25_0.5_top20,gte_reranker,vector_0.5_bm25_0.5,20,category:semantic,10,0.9,0.7,0.7,0.725,0.665697094360431
vector_0.5_bm25_0.5_top50,gte_reranker,vector_0.5_bm25_0.5,50,all,30,0.9666666666666667,0.5666666666666667,0.7166666666666667,0.4394444444444444,0.48729007242649736
vector_0.5_bm25_0.5_top50,gte_reranker,vector_0.5_bm25_0.5,50,card,10,1.0,0.6,0.8,0.31666666666666665,0.43850721304326157
vector_0.5_bm25_0.5_top50,gte_reranker,vector_0.5_bm25_0.5,50,evidence,20,0.95,0.55,0.675,0.5008333333333332,0.5116815021181151
vector_0.5_bm25_0.5_top50,gte_reranker,vector_0.5_bm25_0.5,50,category:numeric_condition,10,1.0,0.4,0.6,0.2516666666666667,0.3312590976185401
vector_0.5_bm25_0.5_top50,gte_reranker,vector_0.5_bm25_0.5,50,category:proper_noun,10,1.0,0.6,0.8,0.31666666666666665,0.43850721304326157
vector_0.5_bm25_0.5_top50,gte_reranker,vector_0.5_bm25_0.5,50,category:semantic,10,0.9,0.7,0.75,0.75,0.6921039066176901
vector_0.4_bm25_0.6_top20,gte_reranker,vector_0.4_bm25_0.6,20,all,30,0.9666666666666667,0.6,0.7166666666666667,0.4388888888888889,0.49195732584545576
vector_0.4_bm25_0.6_top20,gte_reranker,vector_0.4_bm25_0.6,20,card,10,1.0,0.6,0.8,0.31666666666666665,0.43850721304326157
vector_0.4_bm25_0.6_top20,gte_reranker,vector_0.4_bm25_0.6,20,evidence,20,0.95,0.6,0.675,0.5,0.5186823822465527
vector_0.4_bm25_0.6_top20,gte_reranker,vector_0.4_bm25_0.6,20,category:numeric_condition,10,1.0,0.5,0.65,0.275,0.3716676701326745
vector_0.4_bm25_0.6_top20,gte_reranker,vector_0.4_bm25_0.6,20,category:proper_noun,10,1.0,0.6,0.8,0.31666666666666665,0.43850721304326157
vector_0.4_bm25_0.6_top20,gte_reranker,vector_0.4_bm25_0.6,20,category:semantic,10,0.9,0.7,0.7,0.725,0.665697094360431
vector_0.4_bm25_0.6_top50,gte_reranker,vector_0.4_bm25_0.6,50,all,30,0.9666666666666667,0.5666666666666667,0.7166666666666667,0.4394444444444444,0.48729007242649736
vector_0.4_bm25_0.6_top50,gte_reranker,vector_0.4_bm25_0.6,50,card,10,1.0,0.6,0.8,0.31666666666666665,0.43850721304326157
vector_0.4_bm25_0.6_top50,gte_reranker,vector_0.4_bm25_0.6,50,evidence,20,0.95,0.55,0.675,0.5008333333333332,0.5116815021181151
vector_0.4_bm25_0.6_top50,gte_reranker,vector_0.4_bm25_0.6,50,category:numeric_condition,10,1.0,0.4,0.6,0.2516666666666667,0.3312590976185401
vector_0.4_bm25_0.6_top50,gte_reranker,vector_0.4_bm25_0.6,50,category:proper_noun,10,1.0,0.6,0.8,0.31666666666666665,0.43850721304326157
vector_0.4_bm25_0.6_top50,gte_reranker,vector_0.4_bm25_0.6,50,category:semantic,10,0.9,0.7,0.75,0.75,0.6921039066176901
