oracle,configuration,depth,lambda,view,group,denominator,card_hit_at_3,hit_at_3,recall_at_5,mrr_at_5,ndcg_at_5
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_exact_doc_dedup,card,10,1.0,0.9,0.9,0.45,0.5678367782143118
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_exact_doc_dedup,evidence,20,0.9,0.8,0.7125,0.71,0.6568035987833679
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_exact_doc_dedup,numeric,10,1.0,0.9,0.725,0.7666666666666667,0.6592300666515333
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_exact_doc_dedup,semantic,10,0.8,0.7,0.7,0.6533333333333333,0.6543771309152026
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_exact_doc_dedup,all,30,0.9333333333333333,0.9333333333333333,0.6613624338624339,0.9038888888888889,0.7724732937652169
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_exact_doc_dedup,card,10,1.0,1.0,0.6838888888888889,0.9333333333333333,0.8868794922487659
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_exact_doc_dedup,evidence,20,0.9,0.9,0.6500992063492064,0.8891666666666668,0.7152701945234424
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_exact_doc_dedup,numeric,10,1.0,1.0,0.6950000000000001,0.9333333333333333,0.7170253601676054
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_exact_doc_dedup,semantic,10,0.8,0.8,0.6051984126984127,0.845,0.7135150288792794
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_gold_family_oracle,all,30,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.8972222222222223,0.9143558852691132
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_gold_family_oracle,card,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_gold_family_oracle,evidence,20,0.9,0.9,0.95,0.8791666666666667,0.8965338279036696
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_gold_family_oracle,numeric,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_gold_family_oracle,semantic,10,0.8,0.8,0.9,0.825,0.8430676558073393
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,strict_raw,all,30,0.9333333333333333,0.7333333333333333,0.7583333333333333,0.5427777777777778,0.5657684634736699
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,strict_raw,card,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,strict_raw,evidence,20,0.9,0.75,0.6875,0.6308333333333334,0.5978526010103012
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,strict_raw,numeric,10,1.0,0.8,0.675,0.6583333333333333,0.5782350957482542
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,strict_raw,semantic,10,0.8,0.7,0.7,0.6033333333333333,0.6174701062723483
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_raw,all,30,0.9333333333333333,0.9333333333333333,0.6361344107252036,0.8972222222222223,0.7884628130857476
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_raw,card,10,1.0,1.0,0.6500915438639223,0.9333333333333333,0.9
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_raw,evidence,20,0.9,0.9,0.6291558441558441,0.8791666666666667,0.7326942196286216
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_raw,numeric,10,1.0,1.0,0.6795238095238095,0.9333333333333333,0.7605486540980129
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_raw,semantic,10,0.8,0.8,0.5787878787878789,0.825,0.7048397851592302
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,strict_exact_doc_dedup,all,30,0.9333333333333333,0.8,0.7833333333333333,0.6205555555555555,0.6336005763845082
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,strict_exact_doc_dedup,card,10,1.0,0.9,0.9,0.45,0.5678367782143118
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,strict_exact_doc_dedup,evidence,20,0.9,0.75,0.725,0.7058333333333333,0.6664824754696064
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,strict_exact_doc_dedup,numeric,10,1.0,0.8,0.75,0.7583333333333333,0.6785878200240102
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,strict_exact_doc_dedup,semantic,10,0.8,0.7,0.7,0.6533333333333333,0.6543771309152026
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_exact_doc_dedup,all,30,0.9333333333333333,0.9333333333333333,0.6752513227513227,0.9038888888888889,0.7873690047505999
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_exact_doc_dedup,card,10,1.0,1.0,0.6838888888888889,0.9333333333333333,0.8868794922487659
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_exact_doc_dedup,evidence,20,0.9,0.9,0.6709325396825397,0.8891666666666668,0.7376137610015169
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_exact_doc_dedup,numeric,10,1.0,1.0,0.7366666666666667,0.9333333333333333,0.7617124931237543
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_exact_doc_dedup,semantic,10,0.8,0.8,0.6051984126984127,0.845,0.7135150288792794
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_gold_family_oracle,all,30,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.8972222222222223,0.9143558852691132
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_gold_family_oracle,card,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_gold_family_oracle,evidence,20,0.9,0.9,0.95,0.8791666666666667,0.8965338279036696
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_gold_family_oracle,numeric,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.8,answer_bearing_gold_family_oracle,semantic,10,0.8,0.8,0.9,0.825,0.8430676558073393
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,strict_raw,all,30,0.9333333333333333,0.7333333333333333,0.775,0.5411111111111111,0.5748902358997452
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,strict_raw,card,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,strict_raw,evidence,20,0.9,0.75,0.7125,0.6283333333333333,0.6115352596494141
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,strict_raw,numeric,10,1.0,0.8,0.725,0.6533333333333333,0.6056004130264798
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,strict_raw,semantic,10,0.8,0.7,0.7,0.6033333333333333,0.6174701062723483
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_raw,all,30,0.9333333333333333,0.9333333333333333,0.6444677440585369,0.8972222222222223,0.7983766381685947
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_raw,card,10,1.0,1.0,0.6500915438639223,0.9333333333333333,0.9
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_raw,evidence,20,0.9,0.9,0.6416558441558442,0.8791666666666667,0.747564957252892
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_raw,numeric,10,1.0,1.0,0.7045238095238096,0.9333333333333333,0.7902901293465538
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_raw,semantic,10,0.8,0.8,0.5787878787878789,0.825,0.7048397851592302
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,strict_exact_doc_dedup,all,30,0.9333333333333333,0.8,0.8,0.6205555555555555,0.643281057547714
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,strict_exact_doc_dedup,card,10,1.0,0.9,0.9,0.45,0.5678367782143118
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,strict_exact_doc_dedup,evidence,20,0.9,0.75,0.75,0.7058333333333333,0.6810031972144152
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,strict_exact_doc_dedup,numeric,10,1.0,0.8,0.8,0.7583333333333333,0.7076292635136278
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,strict_exact_doc_dedup,semantic,10,0.8,0.7,0.7,0.6533333333333333,0.6543771309152026
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_exact_doc_dedup,all,30,0.9333333333333333,0.9333333333333333,0.6835846560846561,0.9038888888888889,0.7968948834915329
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_exact_doc_dedup,card,10,1.0,1.0,0.6838888888888889,0.9333333333333333,0.8868794922487659
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_exact_doc_dedup,evidence,20,0.9,0.9,0.6834325396825397,0.8891666666666668,0.7519025791129166
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_exact_doc_dedup,numeric,10,1.0,1.0,0.7616666666666667,0.9333333333333333,0.7902901293465538
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_exact_doc_dedup,semantic,10,0.8,0.8,0.6051984126984127,0.845,0.7135150288792794
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_gold_family_oracle,all,30,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.8972222222222223,0.9143558852691132
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_gold_family_oracle,card,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_gold_family_oracle,evidence,20,0.9,0.9,0.95,0.8791666666666667,0.8965338279036696
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_gold_family_oracle,numeric,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,20,0.9,answer_bearing_gold_family_oracle,semantic,10,0.8,0.8,0.9,0.825,0.8430676558073393
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,strict_raw,all,30,0.9333333333333333,0.7666666666666667,0.75,0.5455555555555556,0.5593158790161776
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,strict_raw,card,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,strict_raw,evidence,20,0.9,0.8,0.675,0.635,0.5881737243240628
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,strict_raw,numeric,10,1.0,0.9,0.65,0.6666666666666667,0.5588773423757772
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,strict_raw,semantic,10,0.8,0.7,0.7,0.6033333333333333,0.6174701062723483
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_raw,all,30,0.9333333333333333,0.9333333333333333,0.6163725059632987,0.8972222222222223,0.7696127605140451
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_raw,card,10,1.0,1.0,0.6500915438639223,0.9333333333333333,0.9
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_raw,evidence,20,0.9,0.9,0.5995129870129869,0.8791666666666667,0.7044191407710677
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_raw,numeric,10,1.0,1.0,0.6202380952380953,0.9333333333333333,0.7039984963829052
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_raw,semantic,10,0.8,0.8,0.5787878787878789,0.825,0.7048397851592302
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,strict_exact_doc_dedup,all,30,0.9333333333333333,0.8333333333333334,0.775,0.6233333333333333,0.6271479919270159
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,strict_exact_doc_dedup,card,10,1.0,0.9,0.9,0.45,0.5678367782143118
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,strict_exact_doc_dedup,evidence,20,0.9,0.8,0.7125,0.71,0.6568035987833679
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,strict_exact_doc_dedup,numeric,10,1.0,0.9,0.725,0.7666666666666667,0.6592300666515333
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,strict_exact_doc_dedup,semantic,10,0.8,0.7,0.7,0.6533333333333333,0.6543771309152026
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_exact_doc_dedup,all,30,0.9333333333333333,0.9333333333333333,0.6613624338624339,0.9038888888888889,0.7724732937652169
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_exact_doc_dedup,card,10,1.0,1.0,0.6838888888888889,0.9333333333333333,0.8868794922487659
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_exact_doc_dedup,evidence,20,0.9,0.9,0.6500992063492064,0.8891666666666668,0.7152701945234424
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_exact_doc_dedup,numeric,10,1.0,1.0,0.6950000000000001,0.9333333333333333,0.7170253601676054
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_exact_doc_dedup,semantic,10,0.8,0.8,0.6051984126984127,0.845,0.7135150288792794
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_gold_family_oracle,all,30,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.8972222222222223,0.9143558852691132
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_gold_family_oracle,card,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_gold_family_oracle,evidence,20,0.9,0.9,0.95,0.8791666666666667,0.8965338279036696
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_gold_family_oracle,numeric,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.7,answer_bearing_gold_family_oracle,semantic,10,0.8,0.8,0.9,0.825,0.8430676558073393
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,strict_raw,all,30,0.9333333333333333,0.7333333333333333,0.7583333333333333,0.5427777777777778,0.5657684634736699
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,strict_raw,card,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,strict_raw,evidence,20,0.9,0.75,0.6875,0.6308333333333334,0.5978526010103012
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,strict_raw,numeric,10,1.0,0.8,0.675,0.6583333333333333,0.5782350957482542
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,strict_raw,semantic,10,0.8,0.7,0.7,0.6033333333333333,0.6174701062723483
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_raw,all,30,0.9333333333333333,0.9333333333333333,0.6361344107252036,0.8972222222222223,0.7884628130857476
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_raw,card,10,1.0,1.0,0.6500915438639223,0.9333333333333333,0.9
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_raw,evidence,20,0.9,0.9,0.6291558441558441,0.8791666666666667,0.7326942196286216
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_raw,numeric,10,1.0,1.0,0.6795238095238095,0.9333333333333333,0.7605486540980129
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_raw,semantic,10,0.8,0.8,0.5787878787878789,0.825,0.7048397851592302
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,strict_exact_doc_dedup,all,30,0.9333333333333333,0.8,0.7833333333333333,0.6205555555555555,0.6336005763845082
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,strict_exact_doc_dedup,card,10,1.0,0.9,0.9,0.45,0.5678367782143118
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,strict_exact_doc_dedup,evidence,20,0.9,0.75,0.725,0.7058333333333333,0.6664824754696064
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,strict_exact_doc_dedup,numeric,10,1.0,0.8,0.75,0.7583333333333333,0.6785878200240102
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,strict_exact_doc_dedup,semantic,10,0.8,0.7,0.7,0.6533333333333333,0.6543771309152026
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_exact_doc_dedup,all,30,0.9333333333333333,0.9333333333333333,0.6752513227513227,0.9038888888888889,0.7873690047505999
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_exact_doc_dedup,card,10,1.0,1.0,0.6838888888888889,0.9333333333333333,0.8868794922487659
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_exact_doc_dedup,evidence,20,0.9,0.9,0.6709325396825397,0.8891666666666668,0.7376137610015169
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_exact_doc_dedup,numeric,10,1.0,1.0,0.7366666666666667,0.9333333333333333,0.7617124931237543
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_exact_doc_dedup,semantic,10,0.8,0.8,0.6051984126984127,0.845,0.7135150288792794
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_gold_family_oracle,all,30,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.8972222222222223,0.9143558852691132
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_gold_family_oracle,card,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_gold_family_oracle,evidence,20,0.9,0.9,0.95,0.8791666666666667,0.8965338279036696
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_gold_family_oracle,numeric,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.8,answer_bearing_gold_family_oracle,semantic,10,0.8,0.8,0.9,0.825,0.8430676558073393
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,strict_raw,all,30,0.9333333333333333,0.7333333333333333,0.775,0.5411111111111111,0.5748902358997452
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,strict_raw,card,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,strict_raw,evidence,20,0.9,0.75,0.7125,0.6283333333333333,0.6115352596494141
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,strict_raw,numeric,10,1.0,0.8,0.725,0.6533333333333333,0.6056004130264798
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,strict_raw,semantic,10,0.8,0.7,0.7,0.6033333333333333,0.6174701062723483
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_raw,all,30,0.9333333333333333,0.9333333333333333,0.6444677440585369,0.8972222222222223,0.7983766381685947
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_raw,card,10,1.0,1.0,0.6500915438639223,0.9333333333333333,0.9
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_raw,evidence,20,0.9,0.9,0.6416558441558442,0.8791666666666667,0.747564957252892
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_raw,numeric,10,1.0,1.0,0.7045238095238096,0.9333333333333333,0.7902901293465538
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_raw,semantic,10,0.8,0.8,0.5787878787878789,0.825,0.7048397851592302
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,strict_exact_doc_dedup,all,30,0.9333333333333333,0.8,0.8,0.6205555555555555,0.643281057547714
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,strict_exact_doc_dedup,card,10,1.0,0.9,0.9,0.45,0.5678367782143118
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,strict_exact_doc_dedup,evidence,20,0.9,0.75,0.75,0.7058333333333333,0.6810031972144152
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,strict_exact_doc_dedup,numeric,10,1.0,0.8,0.8,0.7583333333333333,0.7076292635136278
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,strict_exact_doc_dedup,semantic,10,0.8,0.7,0.7,0.6533333333333333,0.6543771309152026
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_exact_doc_dedup,all,30,0.9333333333333333,0.9333333333333333,0.6835846560846561,0.9038888888888889,0.7968948834915329
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_exact_doc_dedup,card,10,1.0,1.0,0.6838888888888889,0.9333333333333333,0.8868794922487659
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_exact_doc_dedup,evidence,20,0.9,0.9,0.6834325396825397,0.8891666666666668,0.7519025791129166
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_exact_doc_dedup,numeric,10,1.0,1.0,0.7616666666666667,0.9333333333333333,0.7902901293465538
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_exact_doc_dedup,semantic,10,0.8,0.8,0.6051984126984127,0.845,0.7135150288792794
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_gold_family_oracle,all,30,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.8972222222222223,0.9143558852691132
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_gold_family_oracle,card,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_gold_family_oracle,evidence,20,0.9,0.9,0.95,0.8791666666666667,0.8965338279036696
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_gold_family_oracle,numeric,10,1.0,1.0,1.0,0.9333333333333333,0.95
selective_mmr_gold_type_oracle,vector_0.4_bm25_0.6,50,0.9,answer_bearing_gold_family_oracle,semantic,10,0.8,0.8,0.9,0.825,0.8430676558073393
combined_mmr_gte_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_raw,all,30,0.9666666666666667,0.7666666666666667,0.75,0.586111111111111,0.5753915417122052
combined_mmr_gte_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_raw,card,10,1.0,0.7,0.9,0.36666666666666664,0.5016001884004073
combined_mmr_gte_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_raw,evidence,20,0.95,0.8,0.675,0.6958333333333333,0.6122872183681041
combined_mmr_gte_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_raw,numeric,10,1.0,0.9,0.65,0.6666666666666667,0.5588773423757772
combined_mmr_gte_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,strict_raw,semantic,10,0.9,0.7,0.7,0.725,0.665697094360431
combined_mmr_gte_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_raw,all,30,0.9666666666666667,0.9666666666666667,0.6314650985558914,0.9066666666666666,0.7803678711239674
combined_mmr_gte_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_raw,card,10,1.0,1.0,0.6500915438639223,0.9333333333333333,0.9
combined_mmr_gte_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_raw,evidence,20,0.95,0.95,0.6221518759018758,0.8933333333333333,0.7205518066859511
combined_mmr_gte_gold_type_oracle,vector_0.4_bm25_0.6,20,0.7,answer_bearing_raw,numeric,10,1.0,1.0,0.6202380952380953,0.9333333333333333,0.7039984963829052
