grid_order,configuration,k1,b,vector_weight,bm25_weight,group,denominator,card_hit_at_3,card_hit_at_3_denominator,card_mrr_at_5,card_mrr_at_5_denominator,answer_hit_at_3,answer_hit_at_3_denominator,answer_recall_at_5,answer_recall_at_5_denominator,answer_mrr_at_5,answer_mrr_at_5_denominator,answer_ndcg_at_5,answer_ndcg_at_5_denominator
3,k1_1.2_b_0.75_vector_0.3_bm25_0.7,1.2,0.75,0.3,0.7,all,30,0.9666666666666667,30,0.9333333333333333,30,0.9,20,0.8833333333333334,20,0.825,20,0.8152715453861992,20
3,k1_1.2_b_0.75_vector_0.3_bm25_0.7,1.2,0.75,0.3,0.7,card,10,1.0,10,1.0,10,,0,,0,,0,,0
3,k1_1.2_b_0.75_vector_0.3_bm25_0.7,1.2,0.75,0.3,0.7,evidence,20,0.95,20,0.9,20,0.9,20,0.8833333333333334,20,0.825,20,0.8152715453861992,20
3,k1_1.2_b_0.75_vector_0.3_bm25_0.7,1.2,0.75,0.3,0.7,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.8,10,0.7904435459469586,10
3,k1_1.2_b_0.75_vector_0.3_bm25_0.7,1.2,0.75,0.3,0.7,semantic,10,0.9,10,0.85,10,0.9,10,0.9,10,0.85,10,0.8400995448254399,10
4,k1_1.2_b_0.75_vector_0.4_bm25_0.6,1.2,0.75,0.4,0.6,all,30,0.9666666666666667,30,0.95,30,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
4,k1_1.2_b_0.75_vector_0.4_bm25_0.6,1.2,0.75,0.4,0.6,card,10,1.0,10,1.0,10,,0,,0,,0,,0
4,k1_1.2_b_0.75_vector_0.4_bm25_0.6,1.2,0.75,0.4,0.6,evidence,20,0.95,20,0.925,20,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
4,k1_1.2_b_0.75_vector_0.4_bm25_0.6,1.2,0.75,0.4,0.6,numeric,10,1.0,10,1.0,10,0.9,10,0.8666666666666666,10,0.9,10,0.8765360636988622,10
4,k1_1.2_b_0.75_vector_0.4_bm25_0.6,1.2,0.75,0.4,0.6,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
5,k1_1.2_b_0.75_vector_0.5_bm25_0.5,1.2,0.75,0.5,0.5,all,30,0.9333333333333333,30,0.9416666666666667,30,0.85,20,0.8583333333333334,20,0.8375,20,0.8179917465273558,20
5,k1_1.2_b_0.75_vector_0.5_bm25_0.5,1.2,0.75,0.5,0.5,card,10,1.0,10,1.0,10,,0,,0,,0,,0
5,k1_1.2_b_0.75_vector_0.5_bm25_0.5,1.2,0.75,0.5,0.5,evidence,20,0.9,20,0.9125,20,0.85,20,0.8583333333333334,20,0.8375,20,0.8179917465273558,20
5,k1_1.2_b_0.75_vector_0.5_bm25_0.5,1.2,0.75,0.5,0.5,numeric,10,1.0,10,1.0,10,0.9,10,0.8666666666666666,10,0.85,10,0.8396290390560079,10
5,k1_1.2_b_0.75_vector_0.5_bm25_0.5,1.2,0.75,0.5,0.5,semantic,10,0.8,10,0.825,10,0.8,10,0.85,10,0.825,10,0.7963544539987039,10
6,k1_1.2_b_1_vector_0.3_bm25_0.7,1.2,1.0,0.3,0.7,all,30,0.9666666666666667,30,0.9333333333333333,30,0.9,20,0.8583333333333334,20,0.825,20,0.809550893980832,20
6,k1_1.2_b_1_vector_0.3_bm25_0.7,1.2,1.0,0.3,0.7,card,10,1.0,10,1.0,10,,0,,0,,0,,0
6,k1_1.2_b_1_vector_0.3_bm25_0.7,1.2,1.0,0.3,0.7,evidence,20,0.95,20,0.9,20,0.9,20,0.8583333333333334,20,0.825,20,0.809550893980832,20
6,k1_1.2_b_1_vector_0.3_bm25_0.7,1.2,1.0,0.3,0.7,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.8,10,0.8027220144131537,10
6,k1_1.2_b_1_vector_0.3_bm25_0.7,1.2,1.0,0.3,0.7,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
7,k1_1.2_b_1_vector_0.4_bm25_0.6,1.2,1.0,0.4,0.6,all,30,0.9666666666666667,30,0.95,30,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
7,k1_1.2_b_1_vector_0.4_bm25_0.6,1.2,1.0,0.4,0.6,card,10,1.0,10,1.0,10,,0,,0,,0,,0
7,k1_1.2_b_1_vector_0.4_bm25_0.6,1.2,1.0,0.4,0.6,evidence,20,0.95,20,0.925,20,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
7,k1_1.2_b_1_vector_0.4_bm25_0.6,1.2,1.0,0.4,0.6,numeric,10,1.0,10,1.0,10,0.9,10,0.8666666666666666,10,0.9,10,0.8765360636988622,10
7,k1_1.2_b_1_vector_0.4_bm25_0.6,1.2,1.0,0.4,0.6,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
8,k1_1.2_b_1_vector_0.5_bm25_0.5,1.2,1.0,0.5,0.5,all,30,0.9666666666666667,30,0.9277777777777778,30,0.9,20,0.8583333333333334,20,0.8416666666666666,20,0.8214579186236863,20
8,k1_1.2_b_1_vector_0.5_bm25_0.5,1.2,1.0,0.5,0.5,card,10,1.0,10,1.0,10,,0,,0,,0,,0
8,k1_1.2_b_1_vector_0.5_bm25_0.5,1.2,1.0,0.5,0.5,evidence,20,0.95,20,0.8916666666666666,20,0.9,20,0.8583333333333334,20,0.8416666666666666,20,0.8214579186236863,20
8,k1_1.2_b_1_vector_0.5_bm25_0.5,1.2,1.0,0.5,0.5,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.85,10,0.8396290390560079,10
8,k1_1.2_b_1_vector_0.5_bm25_0.5,1.2,1.0,0.5,0.5,semantic,10,0.9,10,0.8333333333333334,10,0.9,10,0.85,10,0.8333333333333334,10,0.8032867981913647,10
9,k1_1.5_b_0.5_vector_0.3_bm25_0.7,1.5,0.5,0.3,0.7,all,30,0.9666666666666667,30,0.9277777777777777,30,0.9,20,0.9,20,0.8166666666666667,20,0.8265962600912928,20
9,k1_1.5_b_0.5_vector_0.3_bm25_0.7,1.5,0.5,0.3,0.7,card,10,1.0,10,1.0,10,,0,,0,,0,,0
9,k1_1.5_b_0.5_vector_0.3_bm25_0.7,1.5,0.5,0.3,0.7,evidence,20,0.95,20,0.8916666666666666,20,0.9,20,0.9,20,0.8166666666666667,20,0.8265962600912928,20
9,k1_1.5_b_0.5_vector_0.3_bm25_0.7,1.5,0.5,0.3,0.7,numeric,10,1.0,10,0.9333333333333332,10,0.9,10,0.9,10,0.7833333333333333,10,0.8130929753571458,10
9,k1_1.5_b_0.5_vector_0.3_bm25_0.7,1.5,0.5,0.3,0.7,semantic,10,0.9,10,0.85,10,0.9,10,0.9,10,0.85,10,0.8400995448254399,10
10,k1_1.5_b_0.5_vector_0.4_bm25_0.6,1.5,0.5,0.4,0.6,all,30,0.9666666666666667,30,0.9333333333333333,30,0.9,20,0.875,20,0.85,20,0.8381097736272866,20
10,k1_1.5_b_0.5_vector_0.4_bm25_0.6,1.5,0.5,0.4,0.6,card,10,1.0,10,1.0,10,,0,,0,,0,,0
10,k1_1.5_b_0.5_vector_0.4_bm25_0.6,1.5,0.5,0.4,0.6,evidence,20,0.95,20,0.9,20,0.9,20,0.875,20,0.85,20,0.8381097736272866,20
10,k1_1.5_b_0.5_vector_0.4_bm25_0.6,1.5,0.5,0.4,0.6,numeric,10,1.0,10,0.95,10,0.9,10,0.9,10,0.85,10,0.8598397737060626,10
10,k1_1.5_b_0.5_vector_0.4_bm25_0.6,1.5,0.5,0.4,0.6,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
11,k1_1.5_b_0.5_vector_0.5_bm25_0.5,1.5,0.5,0.5,0.5,all,30,0.9333333333333333,30,0.9316666666666666,30,0.85,20,0.8583333333333334,20,0.8125,20,0.7995382342059287,20
11,k1_1.5_b_0.5_vector_0.5_bm25_0.5,1.5,0.5,0.5,0.5,card,10,1.0,10,1.0,10,,0,,0,,0,,0
11,k1_1.5_b_0.5_vector_0.5_bm25_0.5,1.5,0.5,0.5,0.5,evidence,20,0.9,20,0.8975,20,0.85,20,0.8583333333333334,20,0.8125,20,0.7995382342059287,20
11,k1_1.5_b_0.5_vector_0.5_bm25_0.5,1.5,0.5,0.5,0.5,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.8,10,0.8027220144131537,10
11,k1_1.5_b_0.5_vector_0.5_bm25_0.5,1.5,0.5,0.5,0.5,semantic,10,0.8,10,0.845,10,0.8,10,0.85,10,0.825,10,0.7963544539987039,10
12,k1_1.5_b_0.75_vector_0.3_bm25_0.7,1.5,0.75,0.3,0.7,all,30,0.9666666666666667,30,0.9333333333333333,30,0.9,20,0.8583333333333334,20,0.825,20,0.809550893980832,20
12,k1_1.5_b_0.75_vector_0.3_bm25_0.7,1.5,0.75,0.3,0.7,card,10,1.0,10,1.0,10,,0,,0,,0,,0
12,k1_1.5_b_0.75_vector_0.3_bm25_0.7,1.5,0.75,0.3,0.7,evidence,20,0.95,20,0.9,20,0.9,20,0.8583333333333334,20,0.825,20,0.809550893980832,20
12,k1_1.5_b_0.75_vector_0.3_bm25_0.7,1.5,0.75,0.3,0.7,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.8,10,0.8027220144131537,10
12,k1_1.5_b_0.75_vector_0.3_bm25_0.7,1.5,0.75,0.3,0.7,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
13,k1_1.5_b_0.75_vector_0.4_bm25_0.6,1.5,0.75,0.4,0.6,all,30,0.9666666666666667,30,0.95,30,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
13,k1_1.5_b_0.75_vector_0.4_bm25_0.6,1.5,0.75,0.4,0.6,card,10,1.0,10,1.0,10,,0,,0,,0,,0
13,k1_1.5_b_0.75_vector_0.4_bm25_0.6,1.5,0.75,0.4,0.6,evidence,20,0.95,20,0.925,20,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
13,k1_1.5_b_0.75_vector_0.4_bm25_0.6,1.5,0.75,0.4,0.6,numeric,10,1.0,10,1.0,10,0.9,10,0.8666666666666666,10,0.9,10,0.8765360636988622,10
13,k1_1.5_b_0.75_vector_0.4_bm25_0.6,1.5,0.75,0.4,0.6,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
14,k1_1.5_b_0.75_vector_0.5_bm25_0.5,1.5,0.75,0.5,0.5,all,30,0.9333333333333333,30,0.9416666666666667,30,0.85,20,0.8583333333333334,20,0.8375,20,0.8179917465273558,20
14,k1_1.5_b_0.75_vector_0.5_bm25_0.5,1.5,0.75,0.5,0.5,card,10,1.0,10,1.0,10,,0,,0,,0,,0
14,k1_1.5_b_0.75_vector_0.5_bm25_0.5,1.5,0.75,0.5,0.5,evidence,20,0.9,20,0.9125,20,0.85,20,0.8583333333333334,20,0.8375,20,0.8179917465273558,20
14,k1_1.5_b_0.75_vector_0.5_bm25_0.5,1.5,0.75,0.5,0.5,numeric,10,1.0,10,1.0,10,0.9,10,0.8666666666666666,10,0.85,10,0.8396290390560079,10
14,k1_1.5_b_0.75_vector_0.5_bm25_0.5,1.5,0.75,0.5,0.5,semantic,10,0.8,10,0.825,10,0.8,10,0.85,10,0.825,10,0.7963544539987039,10
15,k1_1.5_b_1_vector_0.3_bm25_0.7,1.5,1.0,0.3,0.7,all,30,0.9666666666666667,30,0.9166666666666666,30,0.9,20,0.8583333333333334,20,0.825,20,0.809550893980832,20
15,k1_1.5_b_1_vector_0.3_bm25_0.7,1.5,1.0,0.3,0.7,card,10,1.0,10,1.0,10,,0,,0,,0,,0
15,k1_1.5_b_1_vector_0.3_bm25_0.7,1.5,1.0,0.3,0.7,evidence,20,0.95,20,0.875,20,0.9,20,0.8583333333333334,20,0.825,20,0.809550893980832,20
15,k1_1.5_b_1_vector_0.3_bm25_0.7,1.5,1.0,0.3,0.7,numeric,10,1.0,10,0.9,10,0.9,10,0.8666666666666666,10,0.8,10,0.8027220144131537,10
15,k1_1.5_b_1_vector_0.3_bm25_0.7,1.5,1.0,0.3,0.7,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
16,k1_1.5_b_1_vector_0.4_bm25_0.6,1.5,1.0,0.4,0.6,all,30,0.9666666666666667,30,0.9333333333333333,30,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
16,k1_1.5_b_1_vector_0.4_bm25_0.6,1.5,1.0,0.4,0.6,card,10,1.0,10,1.0,10,,0,,0,,0,,0
16,k1_1.5_b_1_vector_0.4_bm25_0.6,1.5,1.0,0.4,0.6,evidence,20,0.95,20,0.9,20,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
16,k1_1.5_b_1_vector_0.4_bm25_0.6,1.5,1.0,0.4,0.6,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.9,10,0.8765360636988622,10
16,k1_1.5_b_1_vector_0.4_bm25_0.6,1.5,1.0,0.4,0.6,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
17,k1_1.5_b_1_vector_0.5_bm25_0.5,1.5,1.0,0.5,0.5,all,30,0.9666666666666667,30,0.9277777777777778,30,0.9,20,0.8583333333333334,20,0.8416666666666666,20,0.8214579186236863,20
17,k1_1.5_b_1_vector_0.5_bm25_0.5,1.5,1.0,0.5,0.5,card,10,1.0,10,1.0,10,,0,,0,,0,,0
17,k1_1.5_b_1_vector_0.5_bm25_0.5,1.5,1.0,0.5,0.5,evidence,20,0.95,20,0.8916666666666666,20,0.9,20,0.8583333333333334,20,0.8416666666666666,20,0.8214579186236863,20
17,k1_1.5_b_1_vector_0.5_bm25_0.5,1.5,1.0,0.5,0.5,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.85,10,0.8396290390560079,10
17,k1_1.5_b_1_vector_0.5_bm25_0.5,1.5,1.0,0.5,0.5,semantic,10,0.9,10,0.8333333333333334,10,0.9,10,0.85,10,0.8333333333333334,10,0.8032867981913647,10
18,k1_1.8_b_0.5_vector_0.3_bm25_0.7,1.8,0.5,0.3,0.7,all,30,0.9666666666666667,30,0.9277777777777777,30,0.9,20,0.9,20,0.8166666666666667,20,0.8239413815675916,20
18,k1_1.8_b_0.5_vector_0.3_bm25_0.7,1.8,0.5,0.3,0.7,card,10,1.0,10,1.0,10,,0,,0,,0,,0
18,k1_1.8_b_0.5_vector_0.3_bm25_0.7,1.8,0.5,0.3,0.7,evidence,20,0.95,20,0.8916666666666666,20,0.9,20,0.9,20,0.8166666666666667,20,0.8239413815675916,20
18,k1_1.8_b_0.5_vector_0.3_bm25_0.7,1.8,0.5,0.3,0.7,numeric,10,1.0,10,0.9333333333333332,10,0.9,10,0.9,10,0.7833333333333333,10,0.8077832183097431,10
18,k1_1.8_b_0.5_vector_0.3_bm25_0.7,1.8,0.5,0.3,0.7,semantic,10,0.9,10,0.85,10,0.9,10,0.9,10,0.85,10,0.8400995448254399,10
19,k1_1.8_b_0.5_vector_0.4_bm25_0.6,1.8,0.5,0.4,0.6,all,30,0.9666666666666667,30,0.9333333333333333,30,0.9,20,0.8583333333333334,20,0.85,20,0.8280044063022591,20
19,k1_1.8_b_0.5_vector_0.4_bm25_0.6,1.8,0.5,0.4,0.6,card,10,1.0,10,1.0,10,,0,,0,,0,,0
19,k1_1.8_b_0.5_vector_0.4_bm25_0.6,1.8,0.5,0.4,0.6,evidence,20,0.95,20,0.9,20,0.9,20,0.8583333333333334,20,0.85,20,0.8280044063022591,20
19,k1_1.8_b_0.5_vector_0.4_bm25_0.6,1.8,0.5,0.4,0.6,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.85,10,0.8396290390560079,10
19,k1_1.8_b_0.5_vector_0.4_bm25_0.6,1.8,0.5,0.4,0.6,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
20,k1_1.8_b_0.5_vector_0.5_bm25_0.5,1.8,0.5,0.5,0.5,all,30,0.9333333333333333,30,0.9316666666666666,30,0.85,20,0.8583333333333334,20,0.8125,20,0.7995382342059287,20
20,k1_1.8_b_0.5_vector_0.5_bm25_0.5,1.8,0.5,0.5,0.5,card,10,1.0,10,1.0,10,,0,,0,,0,,0
20,k1_1.8_b_0.5_vector_0.5_bm25_0.5,1.8,0.5,0.5,0.5,evidence,20,0.9,20,0.8975,20,0.85,20,0.8583333333333334,20,0.8125,20,0.7995382342059287,20
20,k1_1.8_b_0.5_vector_0.5_bm25_0.5,1.8,0.5,0.5,0.5,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.8,10,0.8027220144131537,10
20,k1_1.8_b_0.5_vector_0.5_bm25_0.5,1.8,0.5,0.5,0.5,semantic,10,0.8,10,0.845,10,0.8,10,0.85,10,0.825,10,0.7963544539987039,10
21,k1_1.8_b_0.75_vector_0.3_bm25_0.7,1.8,0.75,0.3,0.7,all,30,0.9666666666666667,30,0.9333333333333333,30,0.9,20,0.8583333333333334,20,0.825,20,0.809550893980832,20
21,k1_1.8_b_0.75_vector_0.3_bm25_0.7,1.8,0.75,0.3,0.7,card,10,1.0,10,1.0,10,,0,,0,,0,,0
21,k1_1.8_b_0.75_vector_0.3_bm25_0.7,1.8,0.75,0.3,0.7,evidence,20,0.95,20,0.9,20,0.9,20,0.8583333333333334,20,0.825,20,0.809550893980832,20
21,k1_1.8_b_0.75_vector_0.3_bm25_0.7,1.8,0.75,0.3,0.7,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.8,10,0.8027220144131537,10
21,k1_1.8_b_0.75_vector_0.3_bm25_0.7,1.8,0.75,0.3,0.7,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
22,k1_1.8_b_0.75_vector_0.4_bm25_0.6,1.8,0.75,0.4,0.6,all,30,0.9666666666666667,30,0.95,30,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
22,k1_1.8_b_0.75_vector_0.4_bm25_0.6,1.8,0.75,0.4,0.6,card,10,1.0,10,1.0,10,,0,,0,,0,,0
22,k1_1.8_b_0.75_vector_0.4_bm25_0.6,1.8,0.75,0.4,0.6,evidence,20,0.95,20,0.925,20,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
22,k1_1.8_b_0.75_vector_0.4_bm25_0.6,1.8,0.75,0.4,0.6,numeric,10,1.0,10,1.0,10,0.9,10,0.8666666666666666,10,0.9,10,0.8765360636988622,10
22,k1_1.8_b_0.75_vector_0.4_bm25_0.6,1.8,0.75,0.4,0.6,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
23,k1_1.8_b_0.75_vector_0.5_bm25_0.5,1.8,0.75,0.5,0.5,all,30,0.9333333333333333,30,0.9483333333333334,30,0.85,20,0.8583333333333334,20,0.8375,20,0.8179917465273558,20
23,k1_1.8_b_0.75_vector_0.5_bm25_0.5,1.8,0.75,0.5,0.5,card,10,1.0,10,1.0,10,,0,,0,,0,,0
23,k1_1.8_b_0.75_vector_0.5_bm25_0.5,1.8,0.75,0.5,0.5,evidence,20,0.9,20,0.9225,20,0.85,20,0.8583333333333334,20,0.8375,20,0.8179917465273558,20
23,k1_1.8_b_0.75_vector_0.5_bm25_0.5,1.8,0.75,0.5,0.5,numeric,10,1.0,10,1.0,10,0.9,10,0.8666666666666666,10,0.85,10,0.8396290390560079,10
23,k1_1.8_b_0.75_vector_0.5_bm25_0.5,1.8,0.75,0.5,0.5,semantic,10,0.8,10,0.845,10,0.8,10,0.85,10,0.825,10,0.7963544539987039,10
24,k1_1.8_b_1_vector_0.3_bm25_0.7,1.8,1.0,0.3,0.7,all,30,0.9666666666666667,30,0.9166666666666666,30,0.9,20,0.8583333333333334,20,0.825,20,0.809550893980832,20
24,k1_1.8_b_1_vector_0.3_bm25_0.7,1.8,1.0,0.3,0.7,card,10,1.0,10,1.0,10,,0,,0,,0,,0
24,k1_1.8_b_1_vector_0.3_bm25_0.7,1.8,1.0,0.3,0.7,evidence,20,0.95,20,0.875,20,0.9,20,0.8583333333333334,20,0.825,20,0.809550893980832,20
24,k1_1.8_b_1_vector_0.3_bm25_0.7,1.8,1.0,0.3,0.7,numeric,10,1.0,10,0.9,10,0.9,10,0.8666666666666666,10,0.8,10,0.8027220144131537,10
24,k1_1.8_b_1_vector_0.3_bm25_0.7,1.8,1.0,0.3,0.7,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
25,k1_1.8_b_1_vector_0.4_bm25_0.6,1.8,1.0,0.4,0.6,all,30,0.9666666666666667,30,0.9333333333333333,30,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
25,k1_1.8_b_1_vector_0.4_bm25_0.6,1.8,1.0,0.4,0.6,card,10,1.0,10,1.0,10,,0,,0,,0,,0
25,k1_1.8_b_1_vector_0.4_bm25_0.6,1.8,1.0,0.4,0.6,evidence,20,0.95,20,0.9,20,0.9,20,0.8583333333333334,20,0.875,20,0.8464579186236862,20
25,k1_1.8_b_1_vector_0.4_bm25_0.6,1.8,1.0,0.4,0.6,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.9,10,0.8765360636988622,10
25,k1_1.8_b_1_vector_0.4_bm25_0.6,1.8,1.0,0.4,0.6,semantic,10,0.9,10,0.85,10,0.9,10,0.85,10,0.85,10,0.8163797735485104,10
26,k1_1.8_b_1_vector_0.5_bm25_0.5,1.8,1.0,0.5,0.5,all,30,0.9666666666666667,30,0.9277777777777778,30,0.9,20,0.8583333333333334,20,0.8416666666666666,20,0.8214579186236863,20
26,k1_1.8_b_1_vector_0.5_bm25_0.5,1.8,1.0,0.5,0.5,card,10,1.0,10,1.0,10,,0,,0,,0,,0
26,k1_1.8_b_1_vector_0.5_bm25_0.5,1.8,1.0,0.5,0.5,evidence,20,0.95,20,0.8916666666666666,20,0.9,20,0.8583333333333334,20,0.8416666666666666,20,0.8214579186236863,20
26,k1_1.8_b_1_vector_0.5_bm25_0.5,1.8,1.0,0.5,0.5,numeric,10,1.0,10,0.95,10,0.9,10,0.8666666666666666,10,0.85,10,0.8396290390560079,10
26,k1_1.8_b_1_vector_0.5_bm25_0.5,1.8,1.0,0.5,0.5,semantic,10,0.9,10,0.8333333333333334,10,0.9,10,0.85,10,0.8333333333333334,10,0.8032867981913647,10
