configuration,question_group,stage1_card_hit_at_1,stage1_card_hit_at_1_denominator,stage1_card_hit_at_3,stage1_card_hit_at_3_denominator,stage1_oracle_ceiling,stage1_oracle_ceiling_denominator,card_hit_at_3,card_hit_at_3_denominator,strict_evidence_hit_at_3,strict_evidence_hit_at_3_denominator,recall_at_5,recall_at_5_denominator,mrr_at_5,mrr_at_5_denominator,ndcg_at_5,ndcg_at_5_denominator
true_v_to_v,category_numeric_condition,0.9,10,0.9,10,1.0,10,0.9,10,0.7,10,0.65,10,0.6333333333333333,10,0.6059339294100721,10
true_v_to_v,category_semantic,0.4,10,0.7,10,1.0,10,0.7,10,0.5,10,0.55,10,0.425,10,0.4525927629715506,10
true_v_to_keyword,all,0.7666666666666667,30,0.8666666666666667,30,1.0,30,0.8666666666666667,30,0.6666666666666666,30,0.6833333333333333,30,0.625,30,0.614636988411628,30
true_v_to_keyword,card_question,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
true_v_to_keyword,evidence_question,0.65,20,0.8,20,1.0,20,0.8,20,0.5,20,0.525,20,0.4375,20,0.42195548261744165,20
true_v_to_keyword,category_proper_noun,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
true_v_to_keyword,category_numeric_condition,0.9,10,0.9,10,1.0,10,0.9,10,0.6,10,0.55,10,0.575,10,0.5018184146489278,10
true_v_to_keyword,category_semantic,0.4,10,0.7,10,1.0,10,0.7,10,0.4,10,0.5,10,0.3,10,0.34209255058595545,10
true_v_to_rrf_equal,all,0.7666666666666667,30,0.8666666666666667,30,1.0,30,0.8333333333333334,30,0.7,30,0.7666666666666667,30,0.6511111111111111,30,0.669494052648872,30
true_v_to_rrf_equal,card_question,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
true_v_to_rrf_equal,evidence_question,0.65,20,0.8,20,1.0,20,0.75,20,0.55,20,0.65,20,0.4766666666666667,20,0.504241078973308,20
true_v_to_rrf_equal,category_proper_noun,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
true_v_to_rrf_equal,category_numeric_condition,0.9,10,0.9,10,1.0,10,0.9,10,0.6,10,0.7,10,0.575,10,0.5865467546133383,10
true_v_to_rrf_equal,category_semantic,0.4,10,0.7,10,1.0,10,0.6,10,0.5,10,0.6,10,0.3783333333333333,10,0.42193540333327767,10
true_v_to_rrf_0.7_0.3,all,0.7666666666666667,30,0.8666666666666667,30,1.0,30,0.8333333333333334,30,0.7,30,0.7833333333333333,30,0.6777777777777777,30,0.6961522794656033,30
true_v_to_rrf_0.7_0.3,card_question,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
true_v_to_rrf_0.7_0.3,evidence_question,0.65,20,0.8,20,1.0,20,0.75,20,0.55,20,0.675,20,0.5166666666666667,20,0.5442284191984047,20
true_v_to_rrf_0.7_0.3,category_proper_noun,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10,1.0,10
true_v_to_rrf_0.7_0.3,category_numeric_condition,0.9,10,0.9,10,1.0,10,0.9,10,0.7,10,0.75,10,0.6083333333333333,10,0.6294825827178062,10
true_v_to_rrf_0.7_0.3,category_semantic,0.4,10,0.7,10,1.0,10,0.6,10,0.4,10,0.6,10,0.425,10,0.4589742556790032,10
